Name,Current-Price,Change,Open,High,Low,Volume
AGM GROUP HOLDINGS INC.,1.10,+0.00%,1.07,1.15,1.07,"59,045"
AGNC INVESTMENT,25.52,-0.31%,25.68,25.69,25.52,"24,459"
AGNC INVESTMENT,25.15,+0.00%,25.16,25.33,25.15,"37,260"
AGNC INVESTMENT,24.05,+0.00%,24.01,24.20,24.00,"17,304"
AGNC INVESTMENT,10.21,-0.68%,10.16,10.27,10.16,"14,305,157"
AGNC INVESTMENT,24.14,+0.04%,24.14,24.19,24.07,"146,739"
AGNC INVESTMENT,24.91,-0.04%,24.91,24.97,24.91,"34,260"
AGORA INC. ADS,1.90,-3.55%,1.96,2.00,1.78,"375,360"
AGRICULTURE & NATURAL SOLUTIONS ACQUISI,10.41,-0.38%,10.40,10.41,10.39,"1,933"
AGRICULTURE & NATURAL SOLUTIONS ACQUISI,10.34,+0.00%,10.34,10.34,10.34,"1,180"
AGRIFORCE GROWING SYSTEMS,0.0602,-11.73%,0.0680,0.0680,0.0600,"9,705,352"
AGRIFY CORP.,0.2348,-5.25%,0.2400,0.2490,0.2328,"227,292"
